"Name","Gender","Religion","Cast","Country"
"Tribhuvaneshwari","Female","hindu","","India"
"Tridashapujita","Female","hindu","","India"
"Tridivabhavayirtri","Female","hindu","","India"
"Vapurda","Female","hindu","","India"
"Vasudevabhagini","Female","hindu","","India"
"Vindhyavasini`","Female","hindu","","India"
"Vividayudhadhara","Female","hindu","","India"
"Vyadhinashini","Female","hindu","","India"
"Yashodagarba Sambhoota","Female","hindu","","India"
"Ahladajanani","Female","hindu","","India"
"Anugrahaprada","Female","hindu","","India"
"Ashoka","Female","hindu","","India"
"Bhaskari","Female","hindu","","India"
"Bhuvaneshwarya","Female","hindu","","India"
"Bilvanilaya","Female","hindu","","India"
"Brahma-Vishnu-Shivatmika","Female","hindu","","India"
"Buddhi","Female","hindu","","India"
"Chanda","Female","hindu","","India"
"Chandrarupa","Female","hindu","","India"
"Jitakrodhaya","Male","hindu","","India"
"Jitamitraya","Male","hindu","","India"
"Jitendriyaya","Male","hindu","","India"
"Kausaleyaya","Male","hindu","","India"
"Kharadhvamsine","Male","hindu","","India"
"Kodanda Khandanaya","Male","hindu","","India"
"Mahabhujaya","Male","hindu","","India"
"Mahadaraya","Male","hindu","","India"
"Mahadevadi Pujitaya","Male","hindu","","India"
"Mahadevaya","Male","hindu","","India"
"Mahapurushaya","Male","hindu","","India"
"Mahayogine","Male","hindu","","India"
"Maya Manusha Charitraya","Male","hindu","","India"
"Mayamaricha Hantre","Male","hindu","","India"
"Mita Bhashine","Male","hindu","","India"
"Mritavanara Jivanaya","Male","hindu","","India"
"Muni Samstutaya","Male","hindu","","India"
"Parabrahmane","Male","hindu","","India"
"Parakashaya","Male","hindu","","India"
"Parakaya","Male","hindu","","India"
"Paramapurushaya","Male","hindu","","India"
"Paramatmane","Male","hindu","","India"
"Parasmai","Male","hindu","","India"
"Parasmai Dhamne","Male","hindu","","India"
"Parasmai Jyotishe","Male","hindu","","India"
"Lokadhyaksha","Male","hindu","","India"
"Madan","Male","hindu","","India"
"Madhava","Male","hindu","","India"
"Madhusudan","Male","hindu","","India"
"Mahendra","Male","hindu","","India"
"Manmohan","Male","hindu","","India"
"Manohar","Male","hindu","","India"
"Mayur","Male","hindu","","India"
"Mohan","Male","hindu","","India"
"Murali","Male","hindu","","India"
